nodes,error,value,approx
0,1524283034356940800.000000000000000,1.0000,15242830343569408.0000
1,13780237034018032.000000000000000,3.0000,413407111020544.0000
2,122950895388544.437500000000000,9.0000,11065580584960.0000
3,8107643031603.703125000000000,27.0000,2189063618560.0000
4,163423401302.469146728515625,81.0000,132372955136.0000
5,412602990.534979403018951,243.0000,1002625024.0000
6,50956144.993141286075115,729.0000,371469568.0000
7,4929088.111568358726799,2187.0000,107801344.0000
8,306625.072397500392981,6561.0000,20124232.0000
9,62183.940456231270218,19683.0000,12219982.0000
10,1489.435892225101270,59049.0000,820448.0000
11,286.730794199167917,177147.0000,685082.0000
12,15.862244115527405,531441.0000,447142.5312
13,0.598517168415685,1594323.0000,1584780.7031
14,0.018157197443680,4782969.0000,4782100.5469
15,0.015306057479674,14348907.0000,14346710.7480
16,0.002478107776490,43046721.0000,43045654.2559
17,0.000006140183793,129140163.0000,129140155.0706
18,0.000134225405831,387420489.0000,387421009.0167
19,0.000010885245553,1162261467.0000,1162261340.4850
20,0.000004198319589,3486784401.0000,3486784547.3864
21,0.000001029532043,10460353203.0000,10460353095.3073
22,0.000000079380999,31381059609.0000,31381059633.9106
23,0.000000093144987,94143178827.0000,94143178739.3103
24,0.000000014775965,282429536481.0000,282429536522.7317
25,0.000000000809236,847288609443.0000,847288609449.8566
26,0.000000000422188,2541865828329.0000,2541865828339.7314
27,0.000000000223164,7625597484987.0000,7625597484969.9824
28,0.000000000021190,22876792454961.0000,22876792454956.1523
29,0.000000000004257,68630377364883.0000,68630377364885.9219
30,0.000000000000349,205891132094649.0000,205891132094648.2812
31,0.000000000005666,617673396283947.0000,617673396283912.0000
32,0.000000000000769,1853020188851841.0000,1853020188851826.7500
33,0.000000000000360,5559060566555523.0000,5559060566555543.0000
34,0.000000000000228,16677181699666568.0000,16677181699666530.0000
35,0.000000000000032,50031545098999704.0000,50031545098999720.0000
36,0.000000000000384,150094635296999104.0000,150094635296999680.0000
37,0.000000000000043,450283905890997376.0000,450283905890997568.0000
38,0.000000000000000,1350851717672992000.0000,1350851717672992000.0000
39,0.000000000000076,4052555153018976256.0000,4052555153018973184.0000
40,0.000000000000051,12157665459056926720.0000,12157665459056932864.0000
41,0.000000000000045,36472996377170788352.0000,36472996377170771968.0000
42,0.000000000000045,109418989131512381440.0000,109418989131512430592.0000
43,0.000000000000080,328256967394537046016.0000,328256967394536783872.0000
44,0.000000000000120,984770902183611203584.0000,984770902183610023936.0000
45,0.000000000000106,2954312706550834135040.0000,2954312706550830989312.0000
46,0.000000000000248,8862938119652501356544.0000,8862938119652523376640.0000
47,0.000000000000315,26588814358957506166784.0000,26588814358957422280704.0000
48,0.000000000000778,79766443076872497528832.0000,79766443076873118285824.0000
49,0.000000000006632,239299329230617593249792.0000,239299329230601722003456.0000
50,0.000000000006413,717897987691852578422784.0000,717897987691898615103488.0000
51,0.000000000030823,2153693963075558003703808.0000,2153693963074894162821120.0000
52,0.000000000156780,6461081889226671863627776.0000,6461081889236801543995392.0000
53,0.000000002035580,19383245667680015590883328.0000,19383245667285454125268992.0000
54,0.000000050933239,58149737003040055362584576.0000,58149737032657600079986688.0000
