x,y
-20.000000,400.000000
-19.798995,392.000202
-19.597990,384.081210
-19.396985,376.243024
-19.195980,368.485644
-18.994975,360.809070
-18.793970,353.213303
-18.592965,345.698341
-18.391960,338.264185
-18.190955,330.910836
-17.989950,323.638292
-17.788945,316.446554
-17.587940,309.335623
-17.386935,302.305497
-17.185930,295.356178
-16.984925,288.487664
-16.783920,281.699957
-16.582915,274.993056
-16.381910,268.366960
-16.180905,261.821671
-15.979899,255.357188
-15.778894,248.973511
-15.577889,242.670640
-15.376884,236.448575
-15.175879,230.307315
-14.974874,224.246862
-14.773869,218.267215
-14.572864,212.368375
-14.371859,206.550340
-14.170854,200.813111
-13.969849,195.156688
-13.768844,189.581071
-13.567839,184.086260
-13.366834,178.672256
-13.165829,173.339057
-12.964824,168.086664
-12.763819,162.915078
-12.562814,157.824297
-12.361809,152.814323
-12.160804,147.885154
-11.959799,143.036792
-11.758794,138.269236
-11.557789,133.582485
-11.356784,128.976541
-11.155779,124.451403
-10.954774,120.007071
-10.753769,115.643544
-10.552764,111.360824
-10.351759,107.158910
-10.150754,103.037802
-9.949749,98.997500
-9.748744,95.038004
-9.547739,91.159314
-9.346734,87.361430
-9.145729,83.644352
-8.944724,80.008081
-8.743719,76.452615
-8.542714,72.977955
-8.341709,69.584101
-8.140704,66.271054
-7.939698,63.038812
-7.738693,59.887377
-7.537688,56.816747
-7.336683,53.826924
-7.135678,50.917906
-6.934673,48.089695
-6.733668,45.342289
-6.532663,42.675690
-6.331658,40.089897
-6.130653,37.584909
-5.929648,35.160728
-5.728643,32.817353
-5.527638,30.554784
-5.326633,28.373021
-5.125628,26.272064
-4.924623,24.251913
-4.723618,22.312568
-4.522613,20.454029
-4.321608,18.676296
-4.120603,16.979369
-3.919598,15.363248
-3.718593,13.827934
-3.517588,12.373425
-3.316583,10.999722
-3.115578,9.706826
-2.914573,8.494735
-2.713568,7.363450
-2.512563,6.312972
-2.311558,5.343299
-2.110553,4.454433
-1.909548,3.646373
-1.708543,2.919118
-1.507538,2.272670
-1.306533,1.707028
-1.105528,1.222191
-0.904523,0.818161
-0.703518,0.494937
-0.502513,0.252519
-0.301508,0.090907
-0.100503,0.010101
0.100503,0.010101
0.301508,0.090907
0.502513,0.252519
0.703518,0.494937
0.904523,0.818161
1.105528,1.222191
1.306533,1.707028
1.507538,2.272670
1.708543,2.919118
1.909548,3.646373
2.110553,4.454433
2.311558,5.343299
2.512563,6.312972
2.713568,7.363450
2.914573,8.494735
3.115578,9.706826
3.316583,10.999722
3.517588,12.373425
3.718593,13.827934
3.919598,15.363248
4.120603,16.979369
4.321608,18.676296
4.522613,20.454029
4.723618,22.312568
4.924623,24.251913
5.125628,26.272064
5.326633,28.373021
5.527638,30.554784
5.728643,32.817353
5.929648,35.160728
6.130653,37.584909
6.331658,40.089897
6.532663,42.675690
6.733668,45.342289
6.934673,48.089695
7.135678,50.917906
7.336683,53.826924
7.537688,56.816747
7.738693,59.887377
7.939698,63.038812
8.140704,66.271054
8.341709,69.584101
8.542714,72.977955
8.743719,76.452615
8.944724,80.008081
9.145729,83.644352
9.346734,87.361430
9.547739,91.159314
9.748744,95.038004
9.949749,98.997500
10.150754,103.037802
10.351759,107.158910
10.552764,111.360824
10.753769,115.643544
10.954774,120.007071
11.155779,124.451403
11.356784,128.976541
11.557789,133.582485
11.758794,138.269236
11.959799,143.036792
12.160804,147.885154
12.361809,152.814323
12.562814,157.824297
12.763819,162.915078
12.964824,168.086664
13.165829,173.339057
13.366834,178.672256
13.567839,184.086260
13.768844,189.581071
13.969849,195.156688
14.170854,200.813111
14.371859,206.550340
14.572864,212.368375
14.773869,218.267215
14.974874,224.246862
15.175879,230.307315
15.376884,236.448575
15.577889,242.670640
15.778894,248.973511
15.979899,255.357188
16.180905,261.821671
16.381910,268.366960
16.582915,274.993056
16.783920,281.699957
16.984925,288.487664
17.185930,295.356178
17.386935,302.305497
17.587940,309.335623
17.788945,316.446554
17.989950,323.638292
18.190955,330.910836
18.391960,338.264185
18.592965,345.698341
18.793970,353.213303
18.994975,360.809070
19.195980,368.485644
19.396985,376.243024
19.597990,384.081210
19.798995,392.000202
20.000000,400.000000
