x,y
-1.0000000000,0.0384615385
-0.9933333333,0.0389593524
-0.9866666667,0.0394667602
-0.9800000000,0.0399840064
-0.9733333333,0.0405113432
-0.9666666667,0.0410490308
-0.9600000000,0.0415973378
-0.9533333333,0.0421565413
-0.9466666667,0.0427269275
-0.9400000000,0.0433087917
-0.9333333333,0.0439024390
-0.9266666667,0.0445081846
-0.9200000000,0.0451263538
-0.9133333333,0.0457572830
-0.9066666667,0.0464013199
-0.9000000000,0.0470588235
-0.8933333333,0.0477301655
-0.8866666667,0.0484157297
-0.8800000000,0.0491159136
-0.8733333333,0.0498311278
-0.8666666667,0.0505617978
-0.8600000000,0.0513083633
-0.8533333333,0.0520712798
-0.8466666667,0.0528510189
-0.8400000000,0.0536480687
-0.8333333333,0.0544629349
-0.8266666667,0.0552961416
-0.8200000000,0.0561482313
-0.8133333333,0.0570197669
-0.8066666667,0.0579113313
-0.8000000000,0.0588235294
-0.7933333333,0.0597569882
-0.7866666667,0.0607123583
-0.7800000000,0.0616903146
-0.7733333333,0.0626915575
-0.7666666667,0.0637168142
-0.7600000000,0.0647668394
-0.7533333333,0.0658424171
-0.7466666667,0.0669443618
-0.7400000000,0.0680735194
-0.7333333333,0.0692307692
-0.7266666667,0.0704170253
-0.7200000000,0.0716332378
-0.7133333333,0.0728803952
-0.7066666667,0.0741595254
-0.7000000000,0.0754716981
-0.6933333333,0.0768180266
-0.6866666667,0.0781996698
-0.6800000000,0.0796178344
-0.6733333333,0.0810737771
-0.6666666667,0.0825688073
-0.6600000000,0.0841042893
-0.6533333333,0.0856816451
-0.6466666667,0.0873023572
-0.6400000000,0.0889679715
-0.6333333333,0.0906801008
-0.6266666667,0.0924404273
-0.6200000000,0.0942507069
-0.6133333333,0.0961127723
-0.6066666667,0.0980285372
-0.6000000000,0.1000000000
-0.5933333333,0.1020292484
-0.5866666667,0.1041184637
-0.5800000000,0.1062699256
-0.5733333333,0.1084860174
-0.5666666667,0.1107692308
-0.5600000000,0.1131221719
-0.5533333333,0.1155475671
-0.5466666667,0.1180482686
-0.5400000000,0.1206272618
-0.5333333333,0.1232876712
-0.5266666667,0.1260327685
-0.5200000000,0.1288659794
-0.5133333333,0.1317908918
-0.5066666667,0.1348112642
-0.5000000000,0.1379310345
-0.4933333333,0.1411543287
-0.4866666667,0.1444854712
-0.4800000000,0.1479289941
-0.4733333333,0.1514896482
-0.4666666667,0.1551724138
-0.4600000000,0.1589825119
-0.4533333333,0.1629254164
-0.4466666667,0.1670068658
-0.4400000000,0.1712328767
-0.4333333333,0.1756097561
-0.4266666667,0.1801441153
-0.4200000000,0.1848428835
-0.4133333333,0.1897133221
-0.4066666667,0.1947630383
-0.4000000000,0.2000000000
-0.3933333333,0.2054325496
-0.3866666667,0.2110694184
-0.3800000000,0.2169197397
-0.3733333333,0.2229930624
-0.3666666667,0.2292993631
-0.3600000000,0.2358490566
-0.3533333333,0.2426530062
-0.3466666667,0.2497225305
-0.3400000000,0.2570694087
-0.3333333333,0.2647058824
-0.3266666667,0.2726446531
-0.3200000000,0.2808988764
-0.3133333333,0.2894821486
-0.3066666667,0.2984084881
-0.3000000000,0.3076923077
-0.2933333333,0.3173483780
-0.2866666667,0.3273917788
-0.2800000000,0.3378378378
-0.2733333333,0.3487020535
-0.2666666667,0.3600000000
-0.2600000000,0.3717472119
-0.2533333333,0.3839590444
-0.2466666667,0.3966505068
-0.2400000000,0.4098360656
-0.2333333333,0.4235294118
-0.2266666667,0.4377431907
-0.2200000000,0.4524886878
-0.2133333333,0.4677754678
-0.2066666667,0.4836109618
-0.2000000000,0.5000000000
-0.1933333333,0.5169442849
-0.1866666667,0.5344418052
-0.1800000000,0.5524861878
-0.1733333333,0.5710659898
-0.1666666667,0.5901639344
-0.1600000000,0.6097560976
-0.1533333333,0.6298110567
-0.1466666667,0.6502890173
-0.1400000000,0.6711409396
-0.1333333333,0.6923076923
-0.1266666667,0.7137192704
-0.1200000000,0.7352941176
-0.1133333333,0.7569386039
-0.1066666667,0.7785467128
-0.1000000000,0.8000000000
-0.0933333333,0.8211678832
-0.0866666667,0.8419083255
-0.0800000000,0.8620689655
-0.0733333333,0.8814887365
-0.0666666667,0.9000000000
-0.0600000000,0.9174311927
-0.0533333333,0.9336099585
-0.0466666667,0.9483667018
-0.0400000000,0.9615384615
-0.0333333333,0.9729729730
-0.0266666667,0.9825327511
-0.0200000000,0.9900990099
-0.0133333333,0.9955752212
-0.0066666667,0.9988901221
0.0000000000,1.0000000000
0.0066666667,0.9988901221
0.0133333333,0.9955752212
0.0200000000,0.9900990099
0.0266666667,0.9825327511
0.0333333333,0.9729729730
0.0400000000,0.9615384615
0.0466666667,0.9483667018
0.0533333333,0.9336099585
0.0600000000,0.9174311927
0.0666666667,0.9000000000
0.0733333333,0.8814887365
0.0800000000,0.8620689655
0.0866666667,0.8419083255
0.0933333333,0.8211678832
0.1000000000,0.8000000000
0.1066666667,0.7785467128
0.1133333333,0.7569386039
0.1200000000,0.7352941176
0.1266666667,0.7137192704
0.1333333333,0.6923076923
0.1400000000,0.6711409396
0.1466666667,0.6502890173
0.1533333333,0.6298110567
0.1600000000,0.6097560976
0.1666666667,0.5901639344
0.1733333333,0.5710659898
0.1800000000,0.5524861878
0.1866666667,0.5344418052
0.1933333333,0.5169442849
0.2000000000,0.5000000000
0.2066666667,0.4836109618
0.2133333333,0.4677754678
0.2200000000,0.4524886878
0.2266666667,0.4377431907
0.2333333333,0.4235294118
0.2400000000,0.4098360656
0.2466666667,0.3966505068
0.2533333333,0.3839590444
0.2600000000,0.3717472119
0.2666666667,0.3600000000
0.2733333333,0.3487020535
0.2800000000,0.3378378378
0.2866666667,0.3273917788
0.2933333333,0.3173483780
0.3000000000,0.3076923077
0.3066666667,0.2984084881
0.3133333333,0.2894821486
0.3200000000,0.2808988764
0.3266666667,0.2726446531
0.3333333333,0.2647058824
0.3400000000,0.2570694087
0.3466666667,0.2497225305
0.3533333333,0.2426530062
0.3600000000,0.2358490566
0.3666666667,0.2292993631
0.3733333333,0.2229930624
0.3800000000,0.2169197397
0.3866666667,0.2110694184
0.3933333333,0.2054325496
0.4000000000,0.2000000000
0.4066666667,0.1947630383
0.4133333333,0.1897133221
0.4200000000,0.1848428835
0.4266666667,0.1801441153
0.4333333333,0.1756097561
0.4400000000,0.1712328767
0.4466666667,0.1670068658
0.4533333333,0.1629254164
0.4600000000,0.1589825119
0.4666666667,0.1551724138
0.4733333333,0.1514896482
0.4800000000,0.1479289941
0.4866666667,0.1444854712
0.4933333333,0.1411543287
0.5000000000,0.1379310345
0.5066666667,0.1348112642
0.5133333333,0.1317908918
0.5200000000,0.1288659794
0.5266666667,0.1260327685
0.5333333333,0.1232876712
0.5400000000,0.1206272618
0.5466666667,0.1180482686
0.5533333333,0.1155475671
0.5600000000,0.1131221719
0.5666666667,0.1107692308
0.5733333333,0.1084860174
0.5800000000,0.1062699256
0.5866666667,0.1041184637
0.5933333333,0.1020292484
0.6000000000,0.1000000000
0.6066666667,0.0980285372
0.6133333333,0.0961127723
0.6200000000,0.0942507069
0.6266666667,0.0924404273
0.6333333333,0.0906801008
0.6400000000,0.0889679715
0.6466666667,0.0873023572
0.6533333333,0.0856816451
0.6600000000,0.0841042893
0.6666666667,0.0825688073
0.6733333333,0.0810737771
0.6800000000,0.0796178344
0.6866666667,0.0781996698
0.6933333333,0.0768180266
0.7000000000,0.0754716981
0.7066666667,0.0741595254
0.7133333333,0.0728803952
0.7200000000,0.0716332378
0.7266666667,0.0704170253
0.7333333333,0.0692307692
0.7400000000,0.0680735194
0.7466666667,0.0669443618
0.7533333333,0.0658424171
0.7600000000,0.0647668394
0.7666666667,0.0637168142
0.7733333333,0.0626915575
0.7800000000,0.0616903146
0.7866666667,0.0607123583
0.7933333333,0.0597569882
0.8000000000,0.0588235294
0.8066666667,0.0579113313
0.8133333333,0.0570197669
0.8200000000,0.0561482313
0.8266666667,0.0552961416
0.8333333333,0.0544629349
0.8400000000,0.0536480687
0.8466666667,0.0528510189
0.8533333333,0.0520712798
0.8600000000,0.0513083633
0.8666666667,0.0505617978
0.8733333333,0.0498311278
0.8800000000,0.0491159136
0.8866666667,0.0484157297
0.8933333333,0.0477301655
0.9000000000,0.0470588235
0.9066666667,0.0464013199
0.9133333333,0.0457572830
0.9200000000,0.0451263538
0.9266666667,0.0445081846
0.9333333333,0.0439024390
0.9400000000,0.0433087917
0.9466666667,0.0427269275
0.9533333333,0.0421565413
0.9600000000,0.0415973378
0.9666666667,0.0410490308
0.9733333333,0.0405113432
0.9800000000,0.0399840064
0.9866666667,0.0394667602
0.9933333333,0.0389593524
1.0000000000,0.0384615385
